Time [yr]	Species	Pebble Abundance [cm-2]
10000.0	grainSiH3	3.0531331327e-30
10000.0	grainCH3OH	2.1148114089e-18
10000.0	grainNH2OH	0.0000000000e+00
10000.0	grainO2	1.1013760326e-11
10000.0	grainS	2.1897827014e-28
10000.0	grainHS	1.9365887348e-27
10000.0	grainS(-)	3.0822661485e-38
10000.0	grainSiH4	4.0705809624e-30
10000.0	grainO2H	3.9093988297e-14
10000.0	grainH2O2	1.9131088676e-26
10000.0	grainH2S	3.5666902678e-28
10000.0	grainCl	0.0000000000e+00
10000.0	grainC3	9.6404366967e-15
10000.0	grainHCl	0.0000000000e+00
10000.0	grainC3H	2.5799848115e-14
10000.0	grainC2N	1.5543945056e-29
10000.0	grainC3H2	4.0082445388e-13
10000.0	grainH2CCC	1.0485918657e-13
10000.0	grainC3H3	0.0000000000e+00
10000.0	grainHCCN	0.0000000000e+00
10000.0	grainC2O	4.8792967161e-12
10000.0	grainC3H4	0.0000000000e+00
10000.0	grainCH2CN	9.6808808242e-33
10000.0	grainCH3CCH	1.1579761444e-11
10000.0	grainNaOH	0.0000000000e+00
10000.0	grainSiC	9.3365527994e-28
10000.0	grainC3H5	0.0000000000e+00
10000.0	grainCH3CN	2.2445084053e-32
10000.0	grainHC2O	0.0000000000e+00
10000.0	grainHCSi	1.2419890481e-31
10000.0	grainC3H6	0.0000000000e+00
10000.0	grainCH2CO	1.3605735983e-10
10000.0	grainNH2CN	0.0000000000e+00
10000.0	grainOCN	3.1134314927e-27
10000.0	grainSiCH2	9.9021561416e-35
10000.0	grainSiN	0.0000000000e+00
10000.0	grainC3H7	0.0000000000e+00
10000.0	grainHNCO	8.2819204978e-32
10000.0	grainHNSi	0.0000000000e+00
10000.0	grainSiCH3	1.9581102338e-35
10000.0	grainC3H8	0.0000000000e+00
10000.0	grainCH3CHO	1.1816011017e-12
10000.0	grainCO2	1.0652882561e-10
10000.0	grainCS	3.8038675422e-27
10000.0	grainN2O	0.0000000000e+00
10000.0	grainSiO	3.4505834049e-27
10000.0	grainHCS	1.6938839283e-32
10000.0	grainNH2CHO	0.0000000000e+00
10000.0	grainNHNO	0.0000000000e+00
10000.0	grainC2H5OH	8.6899302904e-20
10000.0	grainCH3OCH3	1.6196766169e-28
10000.0	grainH2CS	5.1244298485e-30
10000.0	grainH2SiO	6.2577230203e-30
10000.0	grainHCOOH	8.7897450798e-12
10000.0	grainNH2NO	0.0000000000e+00
10000.0	grainNO2	3.5056655486e-30
10000.0	grainNS	0.0000000000e+00
10000.0	grainCCl	0.0000000000e+00
10000.0	grainC4	2.2820091497e-17
10000.0	grainO3	0.0000000000e+00
10000.0	grainSO	3.4287498748e-28
10000.0	grainC4H	1.5020975965e-13
10000.0	grainC3N	3.5268020789e-30
10000.0	grainC4H2	0.0000000000e+00
10000.0	grainC4H3	1.0982909914e-12
10000.0	grainClO	0.0000000000e+00
10000.0	grainHC2NC	0.0000000000e+00
10000.0	grainHC3N	2.8877558720e-27
10000.0	grainHCNC2	0.0000000000e+00
10000.0	grainHNC3	4.1046112161e-30
10000.0	grainC3O	1.2232273424e-10
10000.0	grainC4H4	0.0000000000e+00
10000.0	grainCH2CCN	0.0000000000e+00
10000.0	grainNCCN	6.2500106540e-29
10000.0	grainSiC2	1.1601201052e-27
10000.0	grainC4H5	0.0000000000e+00
10000.0	grainCH2CHCN	1.8845065356e-31
10000.0	grainHC3O	0.0000000000e+00
10000.0	grainSiC2H	1.5727309106e-29
10000.0	grainC4H6	0.0000000000e+00
10000.0	grainH2C3O	0.0000000000e+00
10000.0	grainH4C3N	0.0000000000e+00
10000.0	grainSiC2H2	1.5554800231e-29
10000.0	grainSiNC	0.0000000000e+00
10000.0	grainH5C3N	0.0000000000e+00
10000.0	grainC2S	5.2576479836e-28
10000.0	grainFe	0.0000000000e+00
10000.0	grainFeH	0.0000000000e+00
10000.0	grainC5	3.1188644667e-17
10000.0	grainHCOOCH3	1.5776922801e-28
10000.0	grainOCS	5.0543782978e-32
10000.0	grainSiO2	3.0101651833e-35
10000.0	grainSiS	0.0000000000e+00
10000.0	grainC5H	6.2104259165e-15
10000.0	grainC4N	3.9950282311e-29
10000.0	grainC5H2	1.6803816544e-13
10000.0	grainC5H3	0.0000000000e+00
10000.0	grainCH3C4H	1.8164266404e-13
10000.0	grainS2	6.3594663468e-46
10000.0	grainSO2	3.0812932603e-30
10000.0	grainCH3C3N	1.5631457507e-27
10000.0	grainHS2	2.3724865467e-36
10000.0	grainSiC3H	2.1293103543e-33
10000.0	grainH2S2	2.0355584050e-38
10000.0	grainC3S	3.2018985301e-35
10000.0	grainC6	2.4233434326e-19
10000.0	grainC6H	2.2122095825e-17
10000.0	grainC5N	1.1841037765e-29
10000.0	grainC6H2	2.1538581896e-15
10000.0	grainC6H3	0.0000000000e+00
10000.0	grainHC5N	7.2868196156e-28
10000.0	grainC6H4	0.0000000000e+00
10000.0	grainH2C5N	0.0000000000e+00
10000.0	grainSiC4	1.3886666962e-37
10000.0	grainH3C5N	0.0000000000e+00
10000.0	grainC6H6	5.1700195531e-16
10000.0	grainC4S	1.6808568665e-35
10000.0	grainC7	4.4408008233e-20
